pass,profile,label,records,normalized_differences,raw_larger,canonical_larger,raw_delta_min,raw_delta_max,canonical_delta_min,canonical_delta_max,runtime_matches,runtime_blocked,not_replayed,first_case,agent_judgment
dead-argument-elimination,dae-return-type-refinement,unlabeled,625,625,0,0,-1,-1,-1,-1,2,0,623,case-000014-gen-valid,open family; sample judgments do not establish family signoff
dead-argument-elimination,dae-tail-call-boundary,unlabeled,625,625,0,0,-2,-2,-2,-2,2,0,623,case-000016-gen-valid,open family; sample judgments do not establish family signoff
dead-argument-elimination,dae-unseen-call-boundary,unlabeled,625,0,625,0,2,2,0,0,0,0,625,case-000013-gen-valid,open family; sample judgments do not establish family signoff
dead-argument-elimination,dae-unused-params,unlabeled,1875,1875,0,0,-2,-2,-2,-2,6,0,1869,case-000003-gen-valid,open family; sample judgments do not establish family signoff
flatten,flatten-blocks,flatten:block-results,846,846,0,0,-8,-8,-8,-8,1,0,845,case-000019-gen-valid,open family; sample judgments do not establish family signoff
flatten,flatten-br,flatten:br-payload,829,829,0,0,-4,-4,-4,-4,2,0,827,case-000003-gen-valid,open family; sample judgments do not establish family signoff
flatten,flatten-br-if,flatten:br-if-payload-and-false-flow,842,842,0,0,-12,-12,-12,-12,2,0,840,case-000006-gen-valid,open family; sample judgments do not establish family signoff
flatten,flatten-br-table,flatten:br-table-payload,881,881,0,0,-4,-4,-12,-12,3,0,878,case-000001-gen-valid,open family; sample judgments do not establish family signoff
flatten,flatten-function-results,flatten:function-results,795,795,0,0,-2,-2,-2,-2,1,0,794,case-000025-gen-valid,open family; sample judgments do not establish family signoff
flatten,flatten-ifs,flatten:if-results,838,838,0,0,-12,-12,-12,-12,1,0,837,case-000022-gen-valid,open family; sample judgments do not establish family signoff
flatten,flatten-legacy-eh,flatten:legacy-try-results,820,820,0,0,-5,-5,-5,-5,3,0,817,case-000002-gen-valid,open family; sample judgments do not establish family signoff
flatten,flatten-loops,flatten:loop-entry-and-results,824,824,0,0,-21,-21,-26,-26,2,0,822,case-000009-gen-valid,open family; sample judgments do not establish family signoff
flatten,flatten-multivalue,flatten:multivalue-results-and-payloads,825,825,0,0,-274,-274,-394,-394,2,0,823,case-000007-gen-valid,open family; sample judgments do not establish family signoff
flatten,flatten-tee,flatten:local-tee,854,854,0,0,-4,-4,-4,-4,1,0,853,case-000004-gen-valid,open family; sample judgments do not establish family signoff
flatten,flatten-unreachable,flatten:unreachable-placeholders,809,809,809,0,21,21,0,0,3,0,806,case-000008-gen-valid,open family; sample judgments do not establish family signoff
global-refining,binaryen-oracle-portable,unlabeled,7033,0,7033,0,2,19,0,0,0,0,7033,case-000001-gen-valid,open family; sample judgments do not establish family signoff
heap2local,heap2local-array,unlabeled,2885,1437,1448,0,-9,15,-23,0,3,0,2882,case-000002-gen-valid,open family; sample judgments do not establish family signoff
heap2local,heap2local-ref,unlabeled,2825,2489,1427,0,-11,21,-31,0,5,0,2820,case-000004-gen-valid,open family; sample judgments do not establish family signoff
heap2local,heap2local-struct,unlabeled,4290,3600,690,0,-8,15,-26,0,12,0,4278,case-000001-gen-valid,open family; sample judgments do not establish family signoff
local-subtyping,local-subtyping-control-refinalize,unlabeled,899,765,899,0,15,34,-1,0,1,0,898,case-000023-gen-valid,open family; sample judgments do not establish family signoff
local-subtyping,local-subtyping-iteration,unlabeled,1789,1465,1789,0,11,30,-1,0,9,0,1780,case-000002-gen-valid,open family; sample judgments do not establish family signoff
local-subtyping,local-subtyping-lubs,unlabeled,1854,0,1854,0,12,31,0,0,0,0,1854,case-000017-gen-valid,open family; sample judgments do not establish family signoff
local-subtyping,local-subtyping-null-bottom,unlabeled,886,754,886,0,11,30,-1,0,1,0,885,case-000013-gen-valid,open family; sample judgments do not establish family signoff
local-subtyping,local-subtyping-straight-line,unlabeled,1865,1582,1865,0,11,30,-1,0,3,0,1862,case-000009-gen-valid,open family; sample judgments do not establish family signoff
local-subtyping,local-subtyping-structured,unlabeled,1817,1503,1817,0,8,27,-4,0,4,0,1813,case-000001-gen-valid,open family; sample judgments do not establish family signoff
local-subtyping,local-subtyping-unreachable-tail,unlabeled,890,761,890,0,14,33,-1,0,2,0,888,case-000010-gen-valid,open family; sample judgments do not establish family signoff
optimize-instructions,pass-oi-call-ref,oi-call-ref:argument-direct-target,101,0,101,0,7,7,0,0,0,0,101,case-000372-gen-valid,open family; sample judgments do not establish family signoff
optimize-instructions,pass-oi-call-ref,oi-call-ref:argument-local-target,103,0,103,0,7,7,0,0,0,0,103,case-000039-gen-valid,open family; sample judgments do not establish family signoff
optimize-instructions,pass-oi-call-ref,oi-call-ref:argument-multivalue-target,93,0,93,0,7,7,0,0,0,0,93,case-000006-gen-valid,open family; sample judgments do not establish family signoff
optimize-instructions,pass-oi-call-ref,oi-call-ref:argument-select-target,117,0,117,0,7,7,0,0,0,0,117,case-000043-gen-valid,open family; sample judgments do not establish family signoff
optimize-instructions,pass-oi-call-ref,oi-call-ref:block-produced-target,131,0,131,0,7,7,0,0,0,0,131,case-000098-gen-valid,open family; sample judgments do not establish family signoff
optimize-instructions,pass-oi-call-ref,oi-call-ref:direct-target-wrapper,102,0,102,0,7,7,0,0,0,0,102,case-000164-gen-valid,open family; sample judgments do not establish family signoff
optimize-instructions,pass-oi-call-ref,oi-call-ref:return-call-ref-target,115,0,115,0,7,7,0,0,0,0,115,case-000007-gen-valid,open family; sample judgments do not establish family signoff
optimize-instructions,pass-oi-call-ref,oi-call-ref:return-table-get-target,118,0,118,0,8,8,0,0,0,0,118,case-000013-gen-valid,open family; sample judgments do not establish family signoff
optimize-instructions,pass-oi-call-ref,oi-call-ref:table-get-target,135,0,135,0,4,4,0,0,0,0,135,case-000108-gen-valid,open family; sample judgments do not establish family signoff
optimize-instructions,pass-oi-descriptor-gc,oi-descriptor-gc:desc-producer-test-cast,262,0,262,0,18,18,0,0,0,0,262,case-000037-gen-valid,open family; sample judgments do not establish family signoff
optimize-instructions,pass-oi-descriptor-gc,oi-descriptor-gc:effectful-null-desc-cast,276,0,276,0,24,24,0,0,0,0,276,case-000027-gen-valid,open family; sample judgments do not establish family signoff
optimize-instructions,pass-oi-descriptor-gc,oi-descriptor-gc:null-desc-cast,272,0,272,0,4,4,0,0,0,0,272,case-000074-gen-valid,open family; sample judgments do not establish family signoff
optimize-instructions,pass-oi-descriptor-gc,oi-descriptor-gc:trapping-null-desc-cast,280,0,280,0,4,4,0,0,0,0,280,case-000052-gen-valid,open family; sample judgments do not establish family signoff
optimize-instructions,pass-oi-gc-aggregate,oi-gc-aggregate:array-get-new-effectful-oob,71,0,71,0,6,6,0,0,0,0,71,case-000165-gen-valid,open family; sample judgments do not establish family signoff
optimize-instructions,pass-oi-gc-aggregate,oi-gc-aggregate:array-get-new-effectful-repeated,75,0,75,0,6,6,0,0,0,0,75,case-000324-gen-valid,open family; sample judgments do not establish family signoff
optimize-instructions,pass-oi-gc-aggregate,oi-gc-aggregate:array-get-new-fixed-effectful-sibling,75,0,75,0,6,6,0,0,0,0,75,case-000272-gen-valid,open family; sample judgments do not establish family signoff
optimize-instructions,pass-oi-gc-aggregate,oi-gc-aggregate:array-get-new-fixed-pure,91,0,91,0,6,6,0,0,0,0,91,case-000008-gen-valid,open family; sample judgments do not establish family signoff
optimize-instructions,pass-oi-gc-aggregate,oi-gc-aggregate:array-new-len-effectful,74,0,74,0,6,6,0,0,0,0,74,case-000302-gen-valid,open family; sample judgments do not establish family signoff
optimize-instructions,pass-oi-gc-aggregate,oi-gc-aggregate:array-new-len-pure,74,0,74,0,6,6,0,0,0,0,74,case-000061-gen-valid,open family; sample judgments do not establish family signoff
optimize-instructions,pass-oi-gc-aggregate,oi-gc-aggregate:array-set-new-effectful-repeated,69,0,69,0,6,6,0,0,0,0,69,case-000012-gen-valid,open family; sample judgments do not establish family signoff
optimize-instructions,pass-oi-gc-aggregate,oi-gc-aggregate:array-set-new-effectful-repeated-and-value,76,0,76,0,6,6,0,0,0,0,76,case-000144-gen-valid,open family; sample judgments do not establish family signoff
optimize-instructions,pass-oi-gc-aggregate,oi-gc-aggregate:array-set-new-fixed-effectful-oob,77,0,77,0,6,6,0,0,0,0,77,case-000094-gen-valid,open family; sample judgments do not establish family signoff
optimize-instructions,pass-oi-gc-aggregate,oi-gc-aggregate:array-set-new-fixed-effectful-value,74,0,74,0,6,6,0,0,0,0,74,case-000227-gen-valid,open family; sample judgments do not establish family signoff
optimize-instructions,pass-oi-gc-aggregate,oi-gc-aggregate:dynamic-index-boundary,70,0,70,0,6,6,0,0,0,0,70,case-000167-gen-valid,open family; sample judgments do not establish family signoff
optimize-instructions,pass-oi-gc-aggregate,oi-gc-aggregate:dynamic-length-boundary,72,0,72,0,6,6,0,0,0,0,72,case-000075-gen-valid,open family; sample judgments do not establish family signoff
optimize-instructions,pass-oi-gc-aggregate,oi-gc-aggregate:negative-huge-length-boundary,73,0,73,0,6,6,0,0,0,0,73,case-000057-gen-valid,open family; sample judgments do not establish family signoff
optimize-instructions,pass-oi-gc-aggregate,oi-gc-aggregate:struct-get-new-effectful-sibling,76,0,76,0,3,3,0,0,0,0,76,case-000003-gen-valid,open family; sample judgments do not establish family signoff
optimize-instructions,pass-oi-gc-aggregate,oi-gc-aggregate:struct-get-new-pure,91,0,91,0,3,3,0,0,0,0,91,case-000651-gen-valid,open family; sample judgments do not establish family signoff
optimize-instructions,pass-oi-local-facts,oi-local-facts:block-produced-mask,77,0,77,0,6,6,0,0,0,0,77,case-000020-gen-valid,open family; sample judgments do not establish family signoff
optimize-instructions,pass-oi-memory-bulk,oi-memory-bulk:shared-atomic-select-add-restore,16,0,16,0,5,5,0,0,0,0,16,case-001067-gen-valid,open family; sample judgments do not establish family signoff
optimize-instructions,pass-oi-memory-bulk,oi-memory-bulk:shared-atomic-select-and-restore,23,0,23,0,5,5,0,0,0,0,23,case-000011-gen-valid,open family; sample judgments do not establish family signoff
optimize-instructions,pass-oi-memory-bulk,oi-memory-bulk:shared-atomic-select-cmpxchg-restore,18,0,18,0,5,5,0,0,0,0,18,case-000582-gen-valid,open family; sample judgments do not establish family signoff
optimize-instructions,pass-oi-memory-bulk,oi-memory-bulk:shared-atomic-select-or-restore,20,0,20,0,5,5,0,0,0,0,20,case-000099-gen-valid,open family; sample judgments do not establish family signoff
optimize-instructions,pass-oi-memory-bulk,oi-memory-bulk:shared-atomic-select-sub-restore,23,0,23,0,5,5,0,0,0,0,23,case-000556-gen-valid,open family; sample judgments do not establish family signoff
optimize-instructions,pass-oi-memory-bulk,oi-memory-bulk:shared-atomic-select-xchg-restore,25,0,25,0,5,5,0,0,0,0,25,case-000773-gen-valid,open family; sample judgments do not establish family signoff
optimize-instructions,pass-oi-memory-bulk,oi-memory-bulk:shared-atomic-select-xor-restore,12,0,12,0,5,5,0,0,0,0,12,case-001378-gen-valid,open family; sample judgments do not establish family signoff
optimize-instructions,pass-oi-ref-gc,oi-ref-gc:direct-null-test-cast-eq,390,0,390,0,20,20,0,0,0,0,390,case-000002-gen-valid,open family; sample judgments do not establish family signoff
optimize-instructions,pass-oi-ref-gc,oi-ref-gc:local-carried-null-test-cast,386,0,386,0,3,3,0,0,0,0,386,case-000005-gen-valid,open family; sample judgments do not establish family signoff
optimize-instructions,pass-oi-tuple,oi-tuple:call-produced-selected-lane,56,56,0,0,-23,-23,-5,-5,1,0,55,case-000287-gen-valid,open family; sample judgments do not establish family signoff
optimize-instructions,pass-oi-tuple,oi-tuple:direct-selected-lane,44,44,0,0,-23,-23,-5,-5,2,0,42,case-000092-gen-valid,open family; sample judgments do not establish family signoff
optimize-instructions,pass-oi-tuple,oi-tuple:effectful-scratch-localized-selected-lane,55,55,0,0,-23,-23,-5,-5,3,0,52,case-000019-gen-valid,open family; sample judgments do not establish family signoff
optimize-instructions,pass-oi-tuple,oi-tuple:effectful-select-operand-selected-lane,58,58,0,0,-21,-21,-5,-5,1,0,57,case-000414-gen-valid,open family; sample judgments do not establish family signoff
optimize-instructions,pass-oi-tuple,oi-tuple:effectful-sibling-selected-lane,49,49,0,0,-23,-23,-5,-5,2,0,47,case-000146-gen-valid,open family; sample judgments do not establish family signoff
optimize-instructions,pass-oi-tuple,oi-tuple:local-carried-selected-lane,50,50,0,0,-23,-23,-5,-5,2,0,48,case-000132-gen-valid,open family; sample judgments do not establish family signoff
optimize-instructions,pass-oi-tuple,oi-tuple:localtee-produced-selected-lane,53,53,0,0,-23,-23,-5,-5,1,0,52,case-000336-gen-valid,open family; sample judgments do not establish family signoff
optimize-instructions,pass-oi-tuple,oi-tuple:multi-selected-effectful-lanes,52,52,0,0,-47,-47,-18,-18,1,0,51,case-000450-gen-valid,open family; sample judgments do not establish family signoff
optimize-instructions,pass-oi-tuple,oi-tuple:randomized-existing-effect-trap-lanes,61,61,0,0,-23,-23,-5,-5,2,0,59,case-000065-gen-valid,open family; sample judgments do not establish family signoff
optimize-instructions,pass-oi-tuple,oi-tuple:runtime-all-results,43,43,0,0,-92,-92,-41,-41,1,0,42,case-000264-gen-valid,open family; sample judgments do not establish family signoff
optimize-instructions,pass-oi-tuple,oi-tuple:runtime-effectful-scratch-localized-selected-lane,50,50,0,0,-19,-19,-5,-5,1,0,49,case-000259-gen-valid,open family; sample judgments do not establish family signoff
optimize-instructions,pass-oi-tuple,oi-tuple:runtime-effectful-selected-lane,40,40,0,0,-19,-19,-5,-5,2,0,38,case-000111-gen-valid,open family; sample judgments do not establish family signoff
optimize-instructions,pass-oi-tuple,oi-tuple:runtime-mixed-effect-trap-scratch-localized-selected-lane,35,35,0,0,-19,-19,-5,-5,1,0,34,case-000359-gen-valid,open family; sample judgments do not establish family signoff
optimize-instructions,pass-oi-tuple,oi-tuple:runtime-multi-selected-effectful-lanes,41,41,0,0,-43,-43,-17,-17,1,0,40,case-000196-gen-valid,open family; sample judgments do not establish family signoff
optimize-instructions,pass-oi-tuple,oi-tuple:runtime-selected-lane,53,53,0,0,-23,-23,-5,-5,1,0,52,case-000042-gen-valid,open family; sample judgments do not establish family signoff
optimize-instructions,pass-oi-tuple,oi-tuple:scratch-localized-selected-lane,43,43,0,0,-23,-23,-5,-5,1,0,42,case-000332-gen-valid,open family; sample judgments do not establish family signoff
optimize-instructions,pass-oi-tuple,oi-tuple:select-produced-selected-lane,50,50,0,0,-21,-21,-5,-5,1,0,49,case-000515-gen-valid,open family; sample judgments do not establish family signoff
optimize-instructions,pass-oi-tuple,oi-tuple:selected-effectful-lane,46,46,0,0,-23,-23,-5,-5,1,0,45,case-000219-gen-valid,open family; sample judgments do not establish family signoff
optimize-instructions,pass-oi-tuple,oi-tuple:selected-lane-all-results,51,51,0,0,-92,-92,-41,-41,1,0,50,case-000063-gen-valid,open family; sample judgments do not establish family signoff
optimize-instructions,pass-oi-tuple,oi-tuple:selected-trapping-lane,51,51,0,0,-23,-23,-5,-5,1,0,50,case-000096-gen-valid,open family; sample judgments do not establish family signoff
optimize-instructions,pass-oi-tuple,oi-tuple:trapping-select-operand-selected-lane,54,54,0,0,-21,-21,-5,-5,1,0,53,case-000105-gen-valid,open family; sample judgments do not establish family signoff
optimize-instructions,pass-oi-tuple,oi-tuple:trapping-sibling-selected-lane,45,45,0,0,-23,-23,-5,-5,1,0,44,case-000353-gen-valid,open family; sample judgments do not establish family signoff
precompute,precompute-control,unlabeled,977,977,0,0,-1,-1,-1,-1,2,0,975,case-000023-gen-valid,open family; sample judgments do not establish family signoff
precompute,precompute-drop-cleanup,unlabeled,1006,1006,0,0,-1,-1,-1,-1,1,0,1005,case-000044-gen-valid,open family; sample judgments do not establish family signoff
precompute,precompute-effect-boundary,unlabeled,989,989,0,0,-1,-1,-1,-1,3,0,986,case-000010-gen-valid,open family; sample judgments do not establish family signoff
precompute,precompute-effectful-values,unlabeled,952,952,0,0,-1,-1,-1,-1,4,0,948,case-000003-gen-valid,open family; sample judgments do not establish family signoff
precompute,precompute-global,unlabeled,1023,1023,0,0,-1,-1,-1,-1,2,0,1021,case-000009-gen-valid,open family; sample judgments do not establish family signoff
precompute,precompute-propagate-local-facts,unlabeled,1494,1494,0,0,-1,-1,-1,-1,7,0,1487,case-000002-gen-valid,open family; sample judgments do not establish family signoff
precompute,precompute-scalar,unlabeled,1005,1005,0,0,-1,-1,-1,-1,2,0,1003,case-000014-gen-valid,open family; sample judgments do not establish family signoff
precompute-propagate,precompute-control,unlabeled,977,977,0,0,-1,-1,-1,-1,1,0,976,case-000023-gen-valid,open family; sample judgments do not establish family signoff
precompute-propagate,precompute-direct-prefix-watch,unlabeled,507,507,0,0,-1,-1,-1,-1,2,0,505,case-000011-gen-valid,open family; sample judgments do not establish family signoff
precompute-propagate,precompute-drop-cleanup,unlabeled,1006,1006,0,0,-1,-1,-1,-1,1,0,1005,case-000044-gen-valid,open family; sample judgments do not establish family signoff
precompute-propagate,precompute-effect-boundary,unlabeled,989,989,0,0,-1,-1,-1,-1,2,0,987,case-000010-gen-valid,open family; sample judgments do not establish family signoff
precompute-propagate,precompute-effectful-values,unlabeled,952,952,0,0,-1,-1,-1,-1,4,0,948,case-000003-gen-valid,open family; sample judgments do not establish family signoff
precompute-propagate,precompute-global,unlabeled,1023,1023,0,0,-1,-1,-1,-1,2,0,1021,case-000009-gen-valid,open family; sample judgments do not establish family signoff
precompute-propagate,precompute-propagate-local-facts,unlabeled,1494,1494,0,0,-3,-3,-3,-3,7,0,1487,case-000002-gen-valid,open family; sample judgments do not establish family signoff
precompute-propagate,precompute-scalar,unlabeled,1005,1005,0,0,-1,-1,-1,-1,2,0,1003,case-000014-gen-valid,open family; sample judgments do not establish family signoff
reorder-globals,reorder-globals-imported,reorder-globals:imported-global-sort,1161,0,1161,0,765,765,0,0,0,0,1161,case-000005-gen-valid,open family; sample judgments do not establish family signoff
reorder-globals,reorder-globals-metadata-remap,reorder-globals:export-and-name-remap,1183,0,1183,0,21,21,0,0,0,0,1183,case-000019-gen-valid,open family; sample judgments do not establish family signoff
reorder-globals,reorder-globals-module-code,reorder-globals:data-offset-traffic,452,452,452,0,2297,2297,-1,-1,5,0,447,case-000001-gen-valid,open family; sample judgments do not establish family signoff
reorder-globals,reorder-globals-module-code,reorder-globals:element-item-traffic,468,468,468,0,2300,2300,-1,-1,0,5,463,case-000007-gen-valid,open family; sample judgments do not establish family signoff
reorder-globals,reorder-globals-module-code,reorder-globals:element-offset-traffic,458,458,458,0,2300,2300,-1,-1,4,0,454,case-000004-gen-valid,open family; sample judgments do not establish family signoff
reorder-globals,reorder-globals-module-code,reorder-globals:table-initializer-traffic,451,451,451,0,2300,2300,-1,-1,0,6,445,case-000026-gen-valid,open family; sample judgments do not establish family signoff
simplify-globals-optimizing,simplify-globals-optimizing-initializer-folding,unlabeled,1391,1391,0,0,-3,-3,-3,-3,11,0,1380,case-000005-gen-valid,open family; sample judgments do not establish family signoff
simplify-globals-optimizing,simplify-globals-optimizing-nested-cleanup,unlabeled,1427,1427,0,0,-1,-1,-1,-1,3,0,1424,case-000004-gen-valid,open family; sample judgments do not establish family signoff
simplify-globals-optimizing,simplify-globals-optimizing-read-only-to-write,unlabeled,2127,2127,0,0,-1,-1,-1,-1,6,0,2121,case-000007-gen-valid,open family; sample judgments do not establish family signoff
ssa-nomerge,ssa-nomerge-coverage,unlabeled,2500,2500,0,0,-19,-19,-3,-3,0,8,2492,case-000007-gen-valid,open family; sample judgments do not establish family signoff
ssa-nomerge,ssa-nomerge-smoke,unlabeled,2500,2500,0,0,-1,-1,-1,-1,8,0,2492,case-000005-gen-valid,open family; sample judgments do not establish family signoff
ssa-nomerge,ssa-nomerge-stress,unlabeled,1250,1250,0,0,-19,-19,-3,-3,0,4,1246,case-000002-gen-valid,open family; sample judgments do not establish family signoff
